abbr,team,name,position,last_updated,status,source,source_url,access_date,confidence
CHI,Chicago Bulls,Tirdod Behbehani,"Senior Manager, Data Science",9-30-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
CHI,Chicago Bulls,Jackson Hett,"Coordinator, Basketball Analytics",9-30-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
CLE,Cleveland Cavaliers,Austin Peterson,Director of Coaching Analytics,8-8-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
CLE,Cleveland Cavaliers,Corey Jones,Player Development Analyst,8-8-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
CLE,Cleveland Cavaliers,Rishi Chandran,Basketball Operations Analyst,7-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
CLE,Cleveland Cavaliers,Jon Nichols,"Vice President, Basketball Strategy and Personnel",12-11-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
CLE,Cleveland Cavaliers,Brad Havens,Director of Basketball Systems,12-11-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
CLE,Cleveland Cavaliers,Max Weisberg,Senior Director of Basketball Strategy,7-8-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
DAL,Dallas Mavericks,Andrew Baker,Vice President Basketball Strategy and Analytics,7-7-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
DAL,Dallas Mavericks,Kostas Pelechrinis,Consultant,12-11-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
DAL,Dallas Mavericks,Marc Oelkers,Basketball Systems Manager,7-8-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
DAL,Dallas Mavericks,Jeremy Patak,Data Engineer,12-11-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
DAL,Dallas Mavericks,Ryan Drost,Basketball Research Analyst,12-11-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
DEN,Denver Nuggets,Nihal Kolur,Director of Strategy,10-21-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
DEN,Denver Nuggets,Layne Vashro,Senior Analyst,10-21-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
DEN,Denver Nuggets,Owen Phillips,Senior Basketball Analyst,10-21-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
DEN,Denver Nuggets,Nicholas Kalinowski,Basketball Analytics Associate,10-21-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
DET,Detroit Pistons,Marshall Smith,Vice President of Basketball Operations,4-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
DET,Detroit Pistons,Chris Mast,Sports Scientist,8-7-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
DET,Detroit Pistons,Jorge Costa,"Senior Director, Data Strategy & Reporting",8-7-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
GSW,Golden State Warriors,Pabail Sidhu,"Vice President, Basketball Analytics and Innovation",4-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
GSW,Golden State Warriors,Kevin Steele,Analytics and Machine Learning Data Engineering Lead,4-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
GSW,Golden State Warriors,Marshall Payne,"Director, Basketball Insights",7-8-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
GSW,Golden State Warriors,Hannah Heiring,Data Analyst,4-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
GSW,Golden State Warriors,James Hu,Data Scientist,4-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
GSW,Golden State Warriors,Michael Scheinert,"Director, Basketball Strategy",4-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
