abbr,team,name,position,last_updated,status,source,source_url,access_date,confidence
PHI,Philadelphia 76ers,John Boyles,"Director, Research & Development",8-28-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
PHI,Philadelphia 76ers,Tommy Balcetis,"Head of Basketball Intelligence, Analytics & Innovation",8-18-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
PHX,Phoenix Suns,Jesse Held,"Director, Basketball Information & Research",4-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
PHX,Phoenix Suns,Jackson Hittner,Analytics Manager,4-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
PHX,Phoenix Suns,Hiroki Witt,"Manager, Basketball Data Infrastructure",4-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
PHX,Phoenix Suns,Zachary Amundson,"Manager, Personnel Evaluation",4-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
POR,Portland Trail Blazers,James Brocato,Director of Basketball Innovation,8-4-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
POR,Portland Trail Blazers,Zach Williams,Director of Data Science,3-3-2023,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
SAC,Sacramento Kings,Colin Montague,Senior Director of Basketball Analytics,4-17-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
SAC,Sacramento Kings,Katherine Evans,Director of Basketball Data Science,7-7-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
SAC,Sacramento Kings,Tom Perry,VP Data Science & Planning,8-8-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
SAS,San Antonio Spurs,Hao Meng,Assistant GM,5-26-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
SAS,San Antonio Spurs,Nick Repole,AVP of Basketball Research & Insight,5-26-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
SAS,San Antonio Spurs,Joshua Fink,AVP of Basketball Data Science,5-26-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
SAS,San Antonio Spurs,David Kaplan,Director of Basketball Analytics,5-26-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
SAS,San Antonio Spurs,Madison Clower,Player Development Analyst,5-26-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
SAS,San Antonio Spurs,Andrew Weatherman,Coaching Analyst,7-6-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
TOR,Toronto Raptors,Matt Redfield,Senior Director of Strategy and Analytics,7-6-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
TOR,Toronto Raptors,Keith Boyarsky,"Vice President, Basketball Strategy & Research",10-18-2019,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
TOR,Toronto Raptors,Eric Khoury,"Assistant Coach / Director, Analytics",12-1-2019,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
UTA,Utah Jazz,George Rodman,Vice President of Analytics & Game Strategy,8-22-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
UTA,Utah Jazz,Steven Schwartz,Vice President of Basketball Strategy,8-20-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
UTA,Utah Jazz,Anthony So,"Director, Basketball Systems",8-20-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
UTA,Utah Jazz,Shane Fenske,Assistant General Manager,8-20-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
WAS,Washington Wizards,Benjamin Eidelberg,"Director, Basketball Operations and Strategy",7-7-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
WAS,Washington Wizards,Samuel Kaplan,"Director, Salary Cap & Strategy",7-7-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
WAS,Washington Wizards,Michael Hartman,"Vice President, Basketball Operations / Strategy & Development",8-27-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
WAS,Washington Wizards,Zain Jafri,"Director of Data Science, Basketball Strategy and Analytics",9-12-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
WAS,Washington Wizards,Jacob Goldstein,"Manager, Basketball Research",7-7-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
