decade,n_seasons,season_from,season_to,fga,fg_pct,fg3a,fg3_pct,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pace,method,source,source_url,access_date,notes
1970s,1,1979-80,1979-80,90.6,0.481,2.8,0.280,27.8,0.764,15.1,29.9,44.9,25.8,9.4,5.3,18.9,24.4,109.3,103.1,Unweighted mean of season league-average rows; decade=floor(start_year/10)*10,Basketball-Reference — League Average Per Game,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,Only 1979-80 in window (3PT introduced); not a full decade.
1980s,10,1980-81,1989-90,88.5,0.484,3.8,0.283,29.2,0.758,14.3,29.2,43.6,25.7,8.7,5.3,17.6,24.8,109.1,101.1,Unweighted mean of season league-average rows; decade=floor(start_year/10)*10,Basketball-Reference — League Average Per Game,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,
1990s,10,1990-91,1999-00,82.6,0.460,12.1,0.344,26.5,0.744,13.2,29.1,42.3,23.1,8.4,5.2,15.7,22.7,100.1,93.3,Unweighted mean of season league-average rows; decade=floor(start_year/10)*10,Basketball-Reference — League Average Per Game,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,
2000s,10,2000-01,2009-10,80.6,0.451,16.1,0.356,25.0,0.755,11.6,30.2,41.8,21.4,7.5,4.9,14.6,21.7,97.2,91.3,Unweighted mean of season league-average rows; decade=floor(start_year/10)*10,Basketball-Reference — League Average Per Game,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,
2010s,10,2010-11,2019-20,84.5,0.455,24.6,0.356,23.0,0.761,10.6,32.7,43.2,22.6,7.7,4.9,14.4,20.3,103.3,95.3,Unweighted mean of season league-average rows; decade=floor(start_year/10)*10,Basketball-Reference — League Average Per Game,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,
2020s,4,2020-21,2023-24,88.4,0.469,34.8,0.362,22.2,0.780,10.3,33.6,43.9,25.4,7.5,4.8,13.8,19.4,112.9,98.8,Unweighted mean of season league-average rows; decade=floor(start_year/10)*10,Basketball-Reference — League Average Per Game,https://www.basketball-reference.com/leagues/NBA_stats_per_game.html,2026-09-20,Partial decade (2020-21 through 2023-24 only).
